source_type,method_type,key_length,threshold,total_keys,overall_passed,overall_pass_rate,frequency_passed,frequency_pass_rate,run_count_passed,run_count_pass_rate,run_L1_passed,run_L1_pass_rate,template_4_1_passed,template_4_1_pass_rate,template_4_2_passed,template_4_2_pass_rate,template_4_3_passed,template_4_3_pass_rate,template_4_4_passed,template_4_4_pass_rate,linear_complexity_passed,linear_complexity_pass_rate,blind_spot_complexity_passed,blind_spot_complexity_pass_rate
random,aes,128,0.01,1000,975,97.5,999,99.9,1000,100.0,1000,100.0,999,99.9,998,99.8,999,99.9,1000,100.0,982,98.2,998,99.8
random,aes,128,0.05,1000,957,95.7,994,99.4,996,99.6,993,99.3,995,99.5,993,99.3,998,99.8,997,99.7,993,99.3,990,99.0
random,aes,256,0.01,1000,992,99.2,998,99.8,998,99.8,997,99.7,1000,100.0,998,99.8,1000,100.0,999,99.9,999,99.9,1000,100.0
random,aes,256,0.05,1000,959,95.89999999999999,995,99.5,990,99.0,992,99.2,997,99.7,989,98.9,999,99.9,995,99.5,996,99.6,996,99.6
random,aes,512,0.01,1000,985,98.5,999,99.9,996,99.6,997,99.7,999,99.9,997,99.7,998,99.8,999,99.9,999,99.9,999,99.9
random,aes,512,0.05,1000,963,96.3,996,99.6,987,98.7,993,99.3,994,99.4,993,99.3,995,99.5,995,99.5,999,99.9,999,99.9
random,aes,1024,0.01,1000,990,99.0,998,99.8,998,99.8,999,99.9,998,99.8,1000,100.0,1000,100.0,999,99.9,1000,100.0,997,99.7
random,aes,1024,0.05,1000,960,96.0,991,99.1,995,99.5,993,99.3,990,99.0,997,99.7,997,99.7,994,99.4,998,99.8,995,99.5
random,aes,2048,0.01,1000,998,99.8,999,99.9,999,99.9,1000,100.0,1000,100.0,999,99.9,1000,100.0,1000,100.0,1000,100.0,1000,100.0
random,aes,2048,0.05,1000,962,96.2,993,99.3,994,99.4,996,99.6,994,99.4,994,99.4,997,99.7,993,99.3,994,99.4,998,99.8
random,aes,4096,0.01,1000,989,98.9,996,99.6,1000,100.0,999,99.9,998,99.8,999,99.9,1000,100.0,997,99.7,999,99.9,1000,100.0
random,aes,4096,0.05,1000,954,95.39999999999999,990,99.0,996,99.6,995,99.5,994,99.4,994,99.4,991,99.1,991,99.1,998,99.8,996,99.6
random,alternating,128,0.01,1000,969,96.89999999999999,1000,100.0,998,99.8,998,99.8,999,99.9,1000,100.0,1000,100.0,1000,100.0,974,97.39999999999999,999,99.9
random,alternating,128,0.05,1000,951,95.1,993,99.3,990,99.0,990,99.0,994,99.4,996,99.6,997,99.7,995,99.5,991,99.1,990,99.0
random,alternating,256,0.01,1000,990,99.0,999,99.9,999,99.9,1000,100.0,997,99.7,999,99.9,999,99.9,998,99.8,1000,100.0,998,99.8
random,alternating,256,0.05,1000,960,96.0,992,99.2,995,99.5,996,99.6,989,98.9,994,99.4,997,99.7,992,99.2,998,99.8,995,99.5
random,alternating,512,0.01,1000,993,99.3,999,99.9,1000,100.0,998,99.8,999,99.9,999,99.9,999,99.9,1000,100.0,999,99.9,1000,100.0
random,alternating,512,0.05,1000,973,97.3,997,99.7,998,99.8,996,99.6,990,99.0,996,99.6,998,99.8,992,99.2,999,99.9,1000,100.0
random,alternating,1024,0.01,1000,988,98.8,999,99.9,997,99.7,998,99.8,998,99.8,996,99.6,999,99.9,999,99.9,1000,100.0,998,99.8
random,alternating,1024,0.05,1000,956,95.6,993,99.3,993,99.3,994,99.4,991,99.1,995,99.5,991,99.1,993,99.3,996,99.6,995,99.5
random,alternating,2048,0.01,1000,996,99.6,999,99.9,1000,100.0,1000,100.0,1000,100.0,1000,100.0,1000,100.0,998,99.8,1000,100.0,999,99.9
random,alternating,2048,0.05,1000,964,96.39999999999999,997,99.7,999,99.9,998,99.8,993,99.3,993,99.3,996,99.6,996,99.6,997,99.7,992,99.2
random,alternating,4096,0.01,1000,985,98.5,998,99.8,998,99.8,1000,100.0,997,99.7,997,99.7,999,99.9,996,99.6,1000,100.0,999,99.9
random,alternating,4096,0.05,1000,956,95.6,991,99.1,994,99.4,994,99.4,994,99.4,990,99.0,995,99.5,993,99.3,998,99.8,998,99.8
random,shrinking,128,0.01,1000,963,96.3,997,99.7,999,99.9,1000,100.0,996,99.6,1000,100.0,997,99.7,998,99.8,974,97.39999999999999,1000,100.0
random,shrinking,128,0.05,1000,959,95.89999999999999,991,99.1,991,99.1,995,99.5,995,99.5,998,99.8,995,99.5,996,99.6,991,99.1,997,99.7
random,shrinking,256,0.01,1000,993,99.3,1000,100.0,998,99.8,999,99.9,999,99.9,998,99.8,998,99.8,1000,100.0,1000,100.0,1000,100.0
random,shrinking,256,0.05,1000,953,95.3,996,99.6,993,99.3,993,99.3,995,99.5,992,99.2,991,99.1,995,99.5,995,99.5,995,99.5
random,shrinking,512,0.01,1000,994,99.4,1000,100.0,998,99.8,999,99.9,998,99.8,1000,100.0,999,99.9,1000,100.0,999,99.9,1000,100.0
random,shrinking,512,0.05,1000,969,96.89999999999999,997,99.7,992,99.2,997,99.7,993,99.3,990,99.0,994,99.4,1000,100.0,999,99.9,1000,100.0
random,shrinking,1024,0.01,1000,995,99.5,999,99.9,999,99.9,1000,100.0,999,99.9,1000,100.0,998,99.8,1000,100.0,1000,100.0,1000,100.0
random,shrinking,1024,0.05,1000,956,95.6,993,99.3,996,99.6,994,99.4,991,99.1,994,99.4,993,99.3,997,99.7,996,99.6,996,99.6
random,shrinking,2048,0.01,1000,993,99.3,997,99.7,999,99.9,999,99.9,1000,100.0,1000,100.0,999,99.9,999,99.9,1000,100.0,1000,100.0
random,shrinking,2048,0.05,1000,962,96.2,994,99.4,995,99.5,998,99.8,992,99.2,996,99.6,994,99.4,994,99.4,998,99.8,998,99.8
random,shrinking,4096,0.01,1000,993,99.3,999,99.9,998,99.8,1000,100.0,998,99.8,1000,100.0,999,99.9,1000,100.0,998,99.8,1000,100.0
random,shrinking,4096,0.05,1000,961,96.1,994,99.4,994,99.4,993,99.3,992,99.2,997,99.7,995,99.5,994,99.4,996,99.6,996,99.6
