source_type,method_type,key_length,threshold,total_keys,passed_keys,failed_keys,pass_rate_percent
random,aes,128,0.01,1000,975,25,97.5
random,aes,128,0.05,1000,957,43,95.7
random,aes,256,0.01,1000,992,8,99.2
random,aes,256,0.05,1000,959,41,95.89999999999999
random,aes,512,0.01,1000,985,15,98.5
random,aes,512,0.05,1000,963,37,96.3
random,aes,1024,0.01,1000,990,10,99.0
random,aes,1024,0.05,1000,960,40,96.0
random,aes,2048,0.01,1000,998,2,99.8
random,aes,2048,0.05,1000,962,38,96.2
random,aes,4096,0.01,1000,989,11,98.9
random,aes,4096,0.05,1000,954,46,95.39999999999999
random,alternating,128,0.01,1000,969,31,96.89999999999999
random,alternating,128,0.05,1000,951,49,95.1
random,alternating,256,0.01,1000,990,10,99.0
random,alternating,256,0.05,1000,960,40,96.0
random,alternating,512,0.01,1000,993,7,99.3
random,alternating,512,0.05,1000,973,27,97.3
random,alternating,1024,0.01,1000,988,12,98.8
random,alternating,1024,0.05,1000,956,44,95.6
random,alternating,2048,0.01,1000,996,4,99.6
random,alternating,2048,0.05,1000,964,36,96.39999999999999
random,alternating,4096,0.01,1000,985,15,98.5
random,alternating,4096,0.05,1000,956,44,95.6
random,shrinking,128,0.01,1000,963,37,96.3
random,shrinking,128,0.05,1000,959,41,95.89999999999999
random,shrinking,256,0.01,1000,993,7,99.3
random,shrinking,256,0.05,1000,953,47,95.3
random,shrinking,512,0.01,1000,994,6,99.4
random,shrinking,512,0.05,1000,969,31,96.89999999999999
random,shrinking,1024,0.01,1000,995,5,99.5
random,shrinking,1024,0.05,1000,956,44,95.6
random,shrinking,2048,0.01,1000,993,7,99.3
random,shrinking,2048,0.05,1000,962,38,96.2
random,shrinking,4096,0.01,1000,993,7,99.3
random,shrinking,4096,0.05,1000,961,39,96.1
