source_type,method_type,key_length,threshold,total_keys,overall_passed,overall_pass_rate,frequency_passed,frequency_pass_rate,run_count_passed,run_count_pass_rate,run_L1_passed,run_L1_pass_rate,template_4_1_passed,template_4_1_pass_rate,template_4_2_passed,template_4_2_pass_rate,template_4_3_passed,template_4_3_pass_rate,template_4_4_passed,template_4_4_pass_rate,linear_complexity_passed,linear_complexity_pass_rate,blind_spot_complexity_passed,blind_spot_complexity_pass_rate
random,aes,128,0.01,1000,994,99.4,999,99.9,1000,100.0,999,99.9,1000,100.0,999,99.9,1000,100.0,1000,100.0,996,99.6,1000,100.0
random,aes,128,0.05,1000,984,98.4,996,99.6,999,99.9,998,99.8,997,99.7,998,99.8,998,99.8,1000,100.0,997,99.7,997,99.7
random,aes,256,0.01,1000,997,99.7,1000,100.0,1000,100.0,1000,100.0,999,99.9,999,99.9,1000,100.0,1000,100.0,1000,100.0,999,99.9
random,aes,256,0.05,1000,975,97.5,997,99.7,999,99.9,997,99.7,997,99.7,995,99.5,999,99.9,998,99.8,997,99.7,995,99.5
random,aes,512,0.01,1000,995,99.5,999,99.9,1000,100.0,999,99.9,999,99.9,999,99.9,998,99.8,1000,100.0,1000,100.0,999,99.9
random,aes,512,0.05,1000,982,98.2,995,99.5,997,99.7,996,99.6,995,99.5,997,99.7,998,99.8,1000,100.0,1000,100.0,999,99.9
random,aes,1024,0.01,1000,989,98.9,996,99.6,997,99.7,999,99.9,998,99.8,1000,100.0,999,99.9,999,99.9,1000,100.0,998,99.8
random,aes,1024,0.05,1000,967,96.7,989,98.9,993,99.3,998,99.8,987,98.7,997,99.7,996,99.6,995,99.5,1000,100.0,998,99.8
random,aes,2048,0.01,1000,989,98.9,1000,100.0,1000,100.0,999,99.9,998,99.8,1000,100.0,998,99.8,997,99.7,998,99.8,999,99.9
random,aes,2048,0.05,1000,959,95.89999999999999,996,99.6,993,99.3,994,99.4,990,99.0,995,99.5,992,99.2,994,99.4,998,99.8,996,99.6
random,aes,4096,0.01,1000,999,99.9,1000,100.0,999,99.9,1000,100.0,1000,100.0,1000,100.0,1000,100.0,1000,100.0,1000,100.0,1000,100.0
random,aes,4096,0.05,1000,965,96.5,994,99.4,996,99.6,997,99.7,997,99.7,990,99.0,996,99.6,991,99.1,1000,100.0,1000,100.0
random,alternating,128,0.01,1000,991,99.1,998,99.8,1000,100.0,1000,100.0,999,99.9,1000,100.0,998,99.8,1000,100.0,994,99.4,1000,100.0
random,alternating,128,0.05,1000,977,97.7,997,99.7,998,99.8,993,99.3,996,99.6,997,99.7,995,99.5,999,99.9,996,99.6,1000,100.0
random,alternating,256,0.01,1000,990,99.0,997,99.7,998,99.8,999,99.9,999,99.9,999,99.9,1000,100.0,1000,100.0,997,99.7,999,99.9
random,alternating,256,0.05,1000,972,97.2,995,99.5,995,99.5,995,99.5,994,99.4,996,99.6,1000,100.0,1000,100.0,993,99.3,997,99.7
random,alternating,512,0.01,1000,985,98.5,996,99.6,995,99.5,999,99.9,998,99.8,999,99.9,996,99.6,998,99.8,993,99.3,1000,100.0
random,alternating,512,0.05,1000,971,97.1,995,99.5,988,98.8,996,99.6,995,99.5,995,99.5,996,99.6,995,99.5,993,99.3,1000,100.0
random,alternating,1024,0.01,1000,988,98.8,997,99.7,994,99.4,996,99.6,997,99.7,997,99.7,997,99.7,997,99.7,997,99.7,1000,100.0
random,alternating,1024,0.05,1000,978,97.8,997,99.7,993,99.3,989,98.9,995,99.5,994,99.4,997,99.7,996,99.6,997,99.7,999,99.9
random,alternating,2048,0.01,1000,987,98.7,1000,100.0,998,99.8,998,99.8,1000,100.0,996,99.6,999,99.9,999,99.9,992,99.2,1000,100.0
random,alternating,2048,0.05,1000,978,97.8,1000,100.0,998,99.8,995,99.5,1000,100.0,994,99.4,996,99.6,998,99.8,991,99.1,999,99.9
random,alternating,4096,0.01,1000,974,97.39999999999999,998,99.8,995,99.5,995,99.5,999,99.9,997,99.7,997,99.7,999,99.9,975,97.5,1000,100.0
random,alternating,4096,0.05,1000,965,96.5,998,99.8,994,99.4,991,99.1,999,99.9,992,99.2,996,99.6,998,99.8,975,97.5,1000,100.0
random,shrinking,128,0.01,1000,994,99.4,998,99.8,1000,100.0,1000,100.0,1000,100.0,1000,100.0,1000,100.0,999,99.9,998,99.8,999,99.9
random,shrinking,128,0.05,1000,988,98.8,998,99.8,998,99.8,997,99.7,999,99.9,997,99.7,1000,100.0,998,99.8,1000,100.0,997,99.7
random,shrinking,256,0.01,1000,997,99.7,1000,100.0,1000,100.0,1000,100.0,999,99.9,1000,100.0,999,99.9,1000,100.0,1000,100.0,999,99.9
random,shrinking,256,0.05,1000,975,97.5,995,99.5,999,99.9,997,99.7,993,99.3,996,99.6,998,99.8,999,99.9,997,99.7,998,99.8
random,shrinking,512,0.01,1000,993,99.3,1000,100.0,999,99.9,999,99.9,999,99.9,998,99.8,998,99.8,999,99.9,1000,100.0,999,99.9
random,shrinking,512,0.05,1000,977,97.7,998,99.8,995,99.5,997,99.7,997,99.7,996,99.6,997,99.7,995,99.5,1000,100.0,999,99.9
random,shrinking,1024,0.01,1000,997,99.7,999,99.9,1000,100.0,999,99.9,999,99.9,1000,100.0,1000,100.0,1000,100.0,1000,100.0,1000,100.0
random,shrinking,1024,0.05,1000,965,96.5,997,99.7,994,99.4,994,99.4,992,99.2,998,99.8,994,99.4,994,99.4,998,99.8,1000,100.0
random,shrinking,2048,0.01,1000,991,99.1,997,99.7,997,99.7,999,99.9,999,99.9,1000,100.0,1000,100.0,998,99.8,1000,100.0,1000,100.0
random,shrinking,2048,0.05,1000,968,96.8,994,99.4,988,98.8,995,99.5,997,99.7,996,99.6,999,99.9,993,99.3,1000,100.0,999,99.9
random,shrinking,4096,0.01,1000,991,99.1,996,99.6,1000,100.0,999,99.9,998,99.8,1000,100.0,999,99.9,998,99.8,1000,100.0,1000,100.0
random,shrinking,4096,0.05,1000,968,96.8,991,99.1,995,99.5,995,99.5,992,99.2,995,99.5,997,99.7,994,99.4,999,99.9,1000,100.0
sha256,aes,128,0.01,1000,987,98.7,997,99.7,1000,100.0,1000,100.0,999,99.9,1000,100.0,998,99.8,1000,100.0,992,99.2,1000,100.0
sha256,aes,128,0.05,1000,978,97.8,993,99.3,996,99.6,998,99.8,996,99.6,999,99.9,996,99.6,999,99.9,997,99.7,999,99.9
sha256,aes,256,0.01,1000,994,99.4,1000,100.0,998,99.8,1000,100.0,999,99.9,998,99.8,1000,100.0,1000,100.0,999,99.9,1000,100.0
sha256,aes,256,0.05,1000,975,97.5,997,99.7,997,99.7,994,99.4,996,99.6,994,99.4,999,99.9,998,99.8,998,99.8,996,99.6
sha256,aes,512,0.01,1000,990,99.0,999,99.9,999,99.9,1000,100.0,997,99.7,999,99.9,996,99.6,1000,100.0,1000,100.0,999,99.9
sha256,aes,512,0.05,1000,966,96.6,996,99.6,994,99.4,990,99.0,991,99.1,998,99.8,995,99.5,998,99.8,1000,100.0,999,99.9
sha256,aes,1024,0.01,1000,997,99.7,1000,100.0,1000,100.0,1000,100.0,1000,100.0,1000,100.0,999,99.9,998,99.8,1000,100.0,1000,100.0
sha256,aes,1024,0.05,1000,974,97.39999999999999,994,99.4,996,99.6,995,99.5,995,99.5,997,99.7,998,99.8,994,99.4,1000,100.0,999,99.9
sha256,aes,2048,0.01,1000,989,98.9,999,99.9,999,99.9,1000,100.0,996,99.6,998,99.8,998,99.8,999,99.9,1000,100.0,1000,100.0
sha256,aes,2048,0.05,1000,969,96.89999999999999,996,99.6,995,99.5,994,99.4,994,99.4,994,99.4,993,99.3,993,99.3,1000,100.0,1000,100.0
sha256,aes,4096,0.01,1000,991,99.1,999,99.9,999,99.9,999,99.9,999,99.9,997,99.7,999,99.9,999,99.9,1000,100.0,1000,100.0
sha256,aes,4096,0.05,1000,966,96.6,995,99.5,994,99.4,994,99.4,996,99.6,992,99.2,993,99.3,994,99.4,1000,100.0,1000,100.0
sha256,alternating,128,0.01,1000,991,99.1,1000,100.0,999,99.9,1000,100.0,1000,100.0,1000,100.0,999,99.9,1000,100.0,994,99.4,999,99.9
sha256,alternating,128,0.05,1000,982,98.2,998,99.8,994,99.4,995,99.5,997,99.7,998,99.8,998,99.8,999,99.9,997,99.7,998,99.8
sha256,alternating,256,0.01,1000,995,99.5,1000,100.0,1000,100.0,1000,100.0,998,99.8,999,99.9,999,99.9,1000,100.0,999,99.9,1000,100.0
sha256,alternating,256,0.05,1000,973,97.3,997,99.7,996,99.6,997,99.7,996,99.6,992,99.2,997,99.7,997,99.7,996,99.6,998,99.8
sha256,alternating,512,0.01,1000,987,98.7,999,99.9,996,99.6,1000,100.0,999,99.9,998,99.8,1000,100.0,999,99.9,995,99.5,1000,100.0
sha256,alternating,512,0.05,1000,973,97.3,997,99.7,995,99.5,992,99.2,998,99.8,995,99.5,997,99.7,997,99.7,995,99.5,1000,100.0
sha256,alternating,1024,0.01,1000,986,98.6,999,99.9,996,99.6,997,99.7,1000,100.0,996,99.6,1000,100.0,1000,100.0,991,99.1,1000,100.0
sha256,alternating,1024,0.05,1000,978,97.8,999,99.9,995,99.5,994,99.4,999,99.9,994,99.4,999,99.9,999,99.9,990,99.0,1000,100.0
sha256,alternating,2048,0.01,1000,992,99.2,1000,100.0,999,99.9,999,99.9,1000,100.0,999,99.9,998,99.8,1000,100.0,994,99.4,1000,100.0
sha256,alternating,2048,0.05,1000,985,98.5,1000,100.0,997,99.7,997,99.7,1000,100.0,997,99.7,997,99.7,1000,100.0,992,99.2,1000,100.0
sha256,alternating,4096,0.01,1000,980,98.0,998,99.8,997,99.7,997,99.7,999,99.9,999,99.9,999,99.9,998,99.8,982,98.2,998,99.8
sha256,alternating,4096,0.05,1000,968,96.8,998,99.8,996,99.6,996,99.6,999,99.9,995,99.5,995,99.5,997,99.7,981,98.1,997,99.7
sha256,shrinking,128,0.01,1000,993,99.3,999,99.9,999,99.9,1000,100.0,1000,100.0,1000,100.0,1000,100.0,1000,100.0,996,99.6,999,99.9
sha256,shrinking,128,0.05,1000,983,98.3,995,99.5,998,99.8,999,99.9,999,99.9,998,99.8,998,99.8,997,99.7,999,99.9,998,99.8
sha256,shrinking,256,0.01,1000,993,99.3,999,99.9,999,99.9,1000,100.0,1000,100.0,1000,100.0,998,99.8,999,99.9,998,99.8,1000,100.0
sha256,shrinking,256,0.05,1000,971,97.1,998,99.8,994,99.4,994,99.4,998,99.8,995,99.5,994,99.4,995,99.5,997,99.7,998,99.8
sha256,shrinking,512,0.01,1000,994,99.4,998,99.8,999,99.9,1000,100.0,998,99.8,997,99.7,1000,100.0,999,99.9,1000,100.0,1000,100.0
sha256,shrinking,512,0.05,1000,974,97.39999999999999,997,99.7,998,99.8,991,99.1,992,99.2,994,99.4,1000,100.0,993,99.3,1000,100.0,1000,100.0
sha256,shrinking,1024,0.01,1000,995,99.5,1000,100.0,1000,100.0,1000,100.0,999,99.9,1000,100.0,997,99.7,999,99.9,1000,100.0,1000,100.0
sha256,shrinking,1024,0.05,1000,961,96.1,991,99.1,993,99.3,995,99.5,993,99.3,996,99.6,992,99.2,996,99.6,1000,100.0,1000,100.0
sha256,shrinking,2048,0.01,1000,995,99.5,998,99.8,999,99.9,1000,100.0,998,99.8,1000,100.0,999,99.9,1000,100.0,1000,100.0,1000,100.0
sha256,shrinking,2048,0.05,1000,969,96.89999999999999,994,99.4,994,99.4,996,99.6,993,99.3,999,99.9,993,99.3,994,99.4,1000,100.0,999,99.9
sha256,shrinking,4096,0.01,1000,993,99.3,1000,100.0,999,99.9,1000,100.0,999,99.9,1000,100.0,999,99.9,996,99.6,1000,100.0,1000,100.0
sha256,shrinking,4096,0.05,1000,962,96.2,995,99.5,994,99.4,994,99.4,996,99.6,994,99.4,994,99.4,985,98.5,998,99.8,1000,100.0
