source_type,method_type,key_length,threshold,total_keys,passed_keys,failed_keys,pass_rate_percent
random,aes,128,0.01,1000,994,6,99.4
random,aes,128,0.05,1000,984,16,98.4
random,aes,256,0.01,1000,997,3,99.7
random,aes,256,0.05,1000,975,25,97.5
random,aes,512,0.01,1000,995,5,99.5
random,aes,512,0.05,1000,982,18,98.2
random,aes,1024,0.01,1000,989,11,98.9
random,aes,1024,0.05,1000,967,33,96.7
random,aes,2048,0.01,1000,989,11,98.9
random,aes,2048,0.05,1000,959,41,95.89999999999999
random,aes,4096,0.01,1000,999,1,99.9
random,aes,4096,0.05,1000,965,35,96.5
random,alternating,128,0.01,1000,991,9,99.1
random,alternating,128,0.05,1000,977,23,97.7
random,alternating,256,0.01,1000,990,10,99.0
random,alternating,256,0.05,1000,972,28,97.2
random,alternating,512,0.01,1000,985,15,98.5
random,alternating,512,0.05,1000,971,29,97.1
random,alternating,1024,0.01,1000,988,12,98.8
random,alternating,1024,0.05,1000,978,22,97.8
random,alternating,2048,0.01,1000,987,13,98.7
random,alternating,2048,0.05,1000,978,22,97.8
random,alternating,4096,0.01,1000,974,26,97.39999999999999
random,alternating,4096,0.05,1000,965,35,96.5
random,shrinking,128,0.01,1000,994,6,99.4
random,shrinking,128,0.05,1000,988,12,98.8
random,shrinking,256,0.01,1000,997,3,99.7
random,shrinking,256,0.05,1000,975,25,97.5
random,shrinking,512,0.01,1000,993,7,99.3
random,shrinking,512,0.05,1000,977,23,97.7
random,shrinking,1024,0.01,1000,997,3,99.7
random,shrinking,1024,0.05,1000,965,35,96.5
random,shrinking,2048,0.01,1000,991,9,99.1
random,shrinking,2048,0.05,1000,968,32,96.8
random,shrinking,4096,0.01,1000,991,9,99.1
random,shrinking,4096,0.05,1000,968,32,96.8
sha256,aes,128,0.01,1000,987,13,98.7
sha256,aes,128,0.05,1000,978,22,97.8
sha256,aes,256,0.01,1000,994,6,99.4
sha256,aes,256,0.05,1000,975,25,97.5
sha256,aes,512,0.01,1000,990,10,99.0
sha256,aes,512,0.05,1000,966,34,96.6
sha256,aes,1024,0.01,1000,997,3,99.7
sha256,aes,1024,0.05,1000,974,26,97.39999999999999
sha256,aes,2048,0.01,1000,989,11,98.9
sha256,aes,2048,0.05,1000,969,31,96.89999999999999
sha256,aes,4096,0.01,1000,991,9,99.1
sha256,aes,4096,0.05,1000,966,34,96.6
sha256,alternating,128,0.01,1000,991,9,99.1
sha256,alternating,128,0.05,1000,982,18,98.2
sha256,alternating,256,0.01,1000,995,5,99.5
sha256,alternating,256,0.05,1000,973,27,97.3
sha256,alternating,512,0.01,1000,987,13,98.7
sha256,alternating,512,0.05,1000,973,27,97.3
sha256,alternating,1024,0.01,1000,986,14,98.6
sha256,alternating,1024,0.05,1000,978,22,97.8
sha256,alternating,2048,0.01,1000,992,8,99.2
sha256,alternating,2048,0.05,1000,985,15,98.5
sha256,alternating,4096,0.01,1000,980,20,98.0
sha256,alternating,4096,0.05,1000,968,32,96.8
sha256,shrinking,128,0.01,1000,993,7,99.3
sha256,shrinking,128,0.05,1000,983,17,98.3
sha256,shrinking,256,0.01,1000,993,7,99.3
sha256,shrinking,256,0.05,1000,971,29,97.1
sha256,shrinking,512,0.01,1000,994,6,99.4
sha256,shrinking,512,0.05,1000,974,26,97.39999999999999
sha256,shrinking,1024,0.01,1000,995,5,99.5
sha256,shrinking,1024,0.05,1000,961,39,96.1
sha256,shrinking,2048,0.01,1000,995,5,99.5
sha256,shrinking,2048,0.05,1000,969,31,96.89999999999999
sha256,shrinking,4096,0.01,1000,993,7,99.3
sha256,shrinking,4096,0.05,1000,962,38,96.2
